week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason
2024-11-29,2024-12-02,24253.55,24354.55,23873.35,24131.1,24284.676201241517,622.9196366089536,23263.15,OFF,OFF,False,False,False,0,23973.21638293704,24378.11414673286,NONE,NO_CHANGE
2024-12-06,2024-12-09,24140.85,24857.75,24008.65,24677.8,24363.300960993212,639.0753768511711,23263.15,OFF,ON,True,False,False,0,24043.763272567627,24459.16226752089,OFF_TO_ON,UPPER_BAND_RECLAIM
2024-12-13,2024-12-16,24633.9,24792.3,24180.8,24768.3,24444.300768794572,637.1057070760874,23263.15,ON,ON,True,False,False,0,24125.74791525653,24539.866624855986,NONE,NO_CHANGE
2024-12-20,2024-12-23,24753.4,24781.25,23537.35,23587.5,24272.94061503566,680.4481565706527,23263.15,ON,OFF,False,False,True,1,23932.716536750333,24375.00783852126,ON_TO_OFF,LOWER_BAND_BREAK
2024-12-27,2024-12-30,23738.2,23938.85,23647.2,23813.4,24181.032492028527,656.9411453870346,23263.15,OFF,OFF,False,True,False,2,23852.56191933501,24279.57366383658,NONE,CONFIRMED_LOWER_BAND_BREAK
2025-01-03,2025-01-06,23796.9,24226.7,23460.45,24004.75,24145.77599362282,664.7489207165321,23263.15,OFF,OFF,False,False,False,0,23813.401533264554,24245.488331730303,NONE,NO_CHANGE
2025-01-10,2025-01-13,24045.8,24089.95,23344.35,23431.5,24002.92079489826,670.5239978082085,23263.15,OFF,OFF,False,False,False,1,23667.658795994153,24103.49939456949,NONE,NO_CHANGE
2025-01-17,2025-01-20,23195.4,23391.65,23047.25,23203.2,23842.976635918607,650.0758551076221,23263.15,OFF,OFF,False,True,True,2,23517.938708364796,23940.48801418475,NONE,EMERGENCY_10_WEEK_LOW_BREAK
2025-01-24,2025-01-27,23290.4,23426.3,22976.85,23092.2,23692.821308734885,635.7454368856492,23047.25,OFF,OFF,False,True,False,3,23374.94859029206,23788.183124267733,NONE,CONFIRMED_LOWER_BAND_BREAK
2025-01-31,2025-02-01,22940.15,23546.8,22786.9,23508.4,23655.937046987907,644.6136199652454,22976.85,OFF,OFF,False,False,False,0,23333.630237005284,23752.629089982693,NONE,NO_CHANGE
2025-02-07,2025-02-10,23528.6,23807.3,23222.0,23559.95,23636.739637590326,640.3769328248708,22786.9,OFF,OFF,False,False,False,0,23316.551171177893,23732.796177514057,NONE,NO_CHANGE
2025-02-14,2025-02-17,23543.8,23568.6,22774.85,22929.25,23495.24171007226,651.3321519088086,22786.9,OFF,OFF,False,False,False,1,23169.575634117857,23592.941532858582,NONE,NO_CHANGE
2025-02-21,2025-02-24,22809.9,23049.95,22720.3,22795.9,23355.373368057808,628.3548553438939,22774.85,OFF,OFF,False,True,False,2,23041.19594038586,23449.62659635939,NONE,CONFIRMED_LOWER_BAND_BREAK
2025-02-28,2025-03-03,22609.35,22668.05,22104.85,22124.7,23109.238694446245,632.8330799621874,22720.3,OFF,OFF,False,True,True,3,22792.82215446515,23204.163656440574,NONE,EMERGENCY_10_WEEK_LOW_BREAK
2025-03-07,2025-03-10,22194.55,22633.8,21964.6,22552.5,22997.890955556995,635.4307171077455,22104.85,OFF,OFF,False,True,False,4,22680.175597003123,23093.205563123156,NONE,CONFIRMED_LOWER_BAND_BREAK
2025-03-13,2025-03-17,22521.85,22676.75,22314.7,22397.2,22877.752764445595,615.9035230286208,21964.6,OFF,OFF,False,True,False,5,22569.801002931286,22970.138292899886,NONE,CONFIRMED_LOWER_BAND_BREAK
2025-03-21,2025-03-24,22353.15,23402.7,22353.15,23350.4,22972.282211556478,646.8782713837193,21964.6,OFF,ON,True,False,False,0,22648.843075864617,23069.313952264034,OFF_TO_ON,UPPER_BAND_RECLAIM
2025-03-28,2025-04-01,23515.4,23869.6,23412.2,23519.35,23081.695769245183,637.7583948563106,21964.6,ON,ON,True,False,False,0,22762.816571817028,23177.35952847363,NONE,NO_CHANGE
2025-04-04,2025-04-07,23341.1,23565.15,22857.45,22904.45,23046.246615396147,642.7542237951457,21964.6,ON,ON,True,False,False,0,22724.869503498572,23142.65974896542,NONE,NO_CHANGE
2025-04-11,2025-04-15,21758.4,22923.9,21743.65,22828.55,23002.707292316918,681.1467792383495,21964.6,ON,ON,True,False,False,0,22662.133902697744,23104.87930920267,NONE,NO_CHANGE
2025-04-17,2025-04-21,23368.35,23872.35,23207.0,23851.65,23172.495833853533,707.0505807213245,21743.65,ON,ON,True,False,False,0,22818.97054349287,23278.553420961733,NONE,NO_CHANGE
