ts,broker,quote_asset,portfolio_value,portfolio_pnl,portfolio_pnl_pct,strategy_equity,strategy_realized,strategy_unrealized,strategy_total,drawdown_pct,exposure,exposure_pct
2026-03-23T05:28:41.379468+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:28:51.591252+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:01.820923+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:12.021177+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:22.232342+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:32.428524+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:42.626478+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:29:52.829513+00:00,fyers,INR,1496267.06,0.00,0,1941567.06,0,-125130.50,-125130.50,0,1754381.6,0.9035905254799697724579237557
2026-03-23T05:30:03.060986+00:00,fyers,INR,1494862.46,-1404.60,-0.0009387361638503222813713482405,1939712.46,0,-126985.10,-126985.10,0.0009387361638503222813713482405,1752527.0,0.9034983463476849553258012273
2026-03-23T05:30:13.275346+00:00,fyers,INR,1494862.46,-1404.60,-0.0009387361638503222813713482405,1939712.46,0,-126985.10,-126985.10,0.0009387361638503222813713482405,1752527.0,0.9034983463476849553258012273
2026-03-23T05:30:23.486894+00:00,fyers,INR,1494862.46,-1404.60,-0.0009387361638503222813713482405,1939712.46,0,-126985.10,-126985.10,0.0009387361638503222813713482405,1752527.0,0.9034983463476849553258012273
2026-03-23T05:30:33.697807+00:00,fyers,INR,1494862.46,-1404.60,-0.0009387361638503222813713482405,1939712.46,0,-126985.10,-126985.10,0.0009387361638503222813713482405,1752527.0,0.9034983463476849553258012273
2026-03-23T05:30:43.893186+00:00,fyers,INR,1492521.46,-3745.60,-0.002503296436934192750323595308,1936621.46,0,-130076.10,-130076.10,0.002503296436934192750323595308,1749436.0,0.9033443221268445512320203247
2026-03-23T05:30:54.100075+00:00,fyers,INR,1492521.46,-3745.60,-0.002503296436934192750323595308,1936621.46,0,-130076.10,-130076.10,0.002503296436934192750323595308,1749436.0,0.9033443221268445512320203247
2026-03-23T05:31:04.308724+00:00,fyers,INR,1490414.56,-5852.50,-0.003911400682709676172380617669,1933839.56,0,-132858.00,-132858.00,0.003911400682709676172380617669,1746654.10,0.9032052793459246433039150363
2026-03-23T05:31:14.499416+00:00,fyers,INR,1490414.56,-5852.50,-0.003911400682709676172380617669,1933839.56,0,-132858.00,-132858.00,0.003911400682709676172380617669,1746654.10,0.9032052793459246433039150363
2026-03-23T05:31:24.713045+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:31:34.920349+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:31:45.120781+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:31:55.316423+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:32:05.516838+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:32:15.729934+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:32:25.935976+00:00,fyers,INR,1493926.06,-2341.00,-0.001564560273083870468952247067,1938476.06,0,-128221.50,-128221.50,0.001564560273083870468952247067,1751290.6,0.9034367956032430960225528914
2026-03-23T05:32:36.132637+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:32:46.335028+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:32:56.551261+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:06.755160+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:16.962510+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:27.200809+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:37.418787+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:47.620363+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:33:57.839370+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:34:08.061196+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
2026-03-23T05:34:18.294168+00:00,fyers,INR,1492989.66,-3277.40,-0.002190384382317418656533145894,1937239.66,0,-129457.90,-129457.90,0.002190384382317418656533145894,1750054.2,0.9033751662920219174121182301
