symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
BIOCON,2026-04-08,2026-04-17,INVENTORY_SOLD_OUT,9,346.15,398.46,3.2,820,1000000,4,0,10496.0,3036.26,7459.74,0,8692.0
INDUSTOWER,2026-04-17,2026-04-21,INVENTORY_SOLD_OUT,4,409.98,477.0,3.3,1081,1000000,2,0,7134.6,2310.26,4824.34,0,18416.4
PATANJALI,2026-04-08,2026-04-22,INVENTORY_SOLD_OUT,14,461.44,553.08,3.95,614,1000000,9,0,21827.7,6816.9,15010.8,0,19463.8
PATANJALI,2026-04-30,2026-05-13,BREAKDOWN,13,456.12,536.98,2.85,623,1000000,6,3,-12335.4,6801.29,-19136.69,-25242.32,37550.55
INDUSTOWER,2026-04-30,2026-05-14,INVENTORY_SOLD_OUT,14,402.99,477.0,2.8,517,1000000,9,0,13028.4,5117.09,7911.31,0,21294.18
LENSKART,2026-05-13,2026-05-19,INVENTORY_SOLD_OUT,6,473.73,548.1,5.0,935,1000000,5,0,23375.0,5766.35,17608.65,0,33918.7
TATACAP,2026-05-13,2026-05-25,INVENTORY_SOLD_OUT,12,304.49,357.76,1.7,1457,1000000,4,0,9907.6,4677.6,5230.0,0,34788.83
MAXHEALTH,2026-04-08,2026-05-27,SIM_END,49,933.56,1095.84,7.55,304,1000000,6,0,13771.2,4579.86,9191.34,0,1712.27
WIPRO,2026-05-13,2026-05-27,SIM_END,14,187.66,217.03,0.85,2367,1000000,3,0,6035.85,3460.54,2575.31,0,5295.97
SAMMAANCAP,2026-05-19,2026-05-27,SIM_END,8,136.96,157.4,1.3,3231,1000000,1,0,4200.3,1149.4,3050.9,0,6397.38
RELIANCE,2026-05-19,2026-05-27,SIM_END,8,1309.85,1450.39,7.3,217,1000000,1,0,1584.1,758.27,825.83,0,1.59
HEROMOTOCO,2026-05-25,2026-05-27,SIM_END,2,4923.0,5767.7,33.25,57,1000000,2,1,4431.75,2263.97,2167.78,-117.45,741.0
