date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-07,5000000.0,5,0,0,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-08,4990462.22,5,0,11,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-09,4976729.41,5,0,6,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-10,5018296.61,5,0,9,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-13,4948690.88,5,0,2,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-15,4996533.4,5,17464.24,9,"HEROMOTOCO,RRKABEL,PIDILITIND,PIRAMALFIN,PATANJALI"
2026-04-16,4974875.67,5,48067.34,9,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-17,5016035.06,5,48067.34,6,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-20,4987461.78,5,48067.34,2,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-21,5042936.1,4,1041697.15,7,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-22,5079223.9,4,1041697.15,11,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-23,5074042.37,4,1041697.15,5,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-24,5068860.18,4,1041697.15,6,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-27,5069513.4,5,19252.52,3,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-28,5138860.32,5,19252.52,4,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-29,5170334.34,5,19252.52,5,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-30,5109247.15,5,19252.52,1,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-04,5045844.3,4,1002423.54,2,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-05,5062803.68,4,1002423.54,3,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-06,5054068.48,4,1002423.54,12,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-07,5067772.68,4,1002423.54,6,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-08,5079660.69,4,1002423.54,4,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-11,5036213.41,5,-13201.46,0,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,OIL"
2026-05-12,4969852.34,5,-13201.46,11,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,OIL"
2026-05-13,4961938.69,5,3589.18,5,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-14,4993805.62,5,3589.18,4,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-15,4969727.53,5,3589.18,3,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-18,4955331.84,5,-43391.94,8,"PIRAMALFIN,HEROMOTOCO,INDIANB,LENSKART,TCS"
2026-05-19,4979225.0,4,909905.26,7,"PIRAMALFIN,INDIANB,LENSKART,TCS"
2026-05-20,4969898.3,4,909905.26,2,"PIRAMALFIN,INDIANB,LENSKART,TCS"
2026-05-21,5003074.17,4,909905.26,6,"PIRAMALFIN,INDIANB,LENSKART,TCS"
2026-05-22,5033685.25,3,1964182.68,4,"PIRAMALFIN,INDIANB,TCS"
2026-05-25,5040243.92,4,964182.68,2,"PIRAMALFIN,INDIANB,TCS,HEROMOTOCO"
2026-05-26,5024848.09,4,964182.68,3,"PIRAMALFIN,INDIANB,TCS,HEROMOTOCO"
