cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
1,2026-03-24 03:45:00,5170.6,2026-03-24 03:45:00,5201.55,57,1764.15,780.52,983.63
2,2026-03-24 04:30:00,5139.65,2026-03-24 04:45:00,5170.6,57,1764.15,776.14,988.01
3,2026-03-24 05:15:00,5139.65,2026-03-24 06:00:00,5170.6,57,1764.15,776.14,988.01
4,2026-03-24 05:00:00,5139.65,2026-03-24 06:15:00,5170.6,57,1764.15,776.14,988.01
5,2026-03-24 06:45:00,5170.6,2026-03-24 06:45:00,5201.55,57,1764.15,780.52,983.63
6,2026-03-24 07:00:00,5232.5,2026-03-24 07:00:00,5263.45,57,1764.15,789.28,974.87
7,2026-03-24 07:45:00,5263.45,2026-03-24 07:45:00,5294.4,57,1764.15,793.66,970.49
8,2026-03-24 08:45:00,5294.4,2026-03-25 03:45:00,5325.35,57,1764.15,798.05,966.1
9,2026-03-24 08:30:00,5294.4,2026-03-25 04:00:00,5325.35,57,1764.15,798.05,966.1
10,2026-03-25 04:30:00,5325.35,2026-03-25 04:45:00,5356.3,57,1764.15,802.43,961.72
11,2026-03-25 04:15:00,5325.35,2026-03-25 05:00:00,5356.3,57,1764.15,802.43,961.72
12,2026-03-24 06:15:00,5170.6,2026-03-27 03:45:00,5201.55,57,1764.15,780.52,983.63
13,2026-03-27 03:45:00,5201.55,2026-04-01 03:45:00,5232.5,57,1764.15,784.9,979.25
14,2026-04-01 04:15:00,5170.6,2026-04-01 04:15:00,5201.55,57,1764.15,780.52,983.63
15,2026-03-25 06:15:00,5325.35,2026-04-09 03:45:00,5356.3,57,1764.15,802.43,961.72
16,2026-03-25 05:45:00,5325.35,2026-04-09 04:00:00,5356.3,57,1764.15,802.43,961.72
17,2026-04-09 04:15:00,5294.4,2026-04-09 05:00:00,5325.35,57,1764.15,798.05,966.1
18,2026-04-09 05:45:00,5294.4,2026-04-09 06:30:00,5325.35,57,1764.15,798.05,966.1
19,2026-04-09 06:45:00,5325.35,2026-04-10 03:45:00,5356.3,57,1764.15,802.43,961.72
20,2026-04-09 04:00:00,5325.35,2026-04-10 04:30:00,5356.3,57,1764.15,802.43,961.72
21,2026-04-10 04:30:00,5356.3,2026-04-10 06:00:00,5387.25,57,1764.15,806.81,957.34
22,2026-04-10 09:15:00,5449.15,2026-04-10 09:30:00,5480.1,57,1764.15,819.95,944.2
23,2026-04-13 03:45:00,5325.35,2026-04-13 03:45:00,5356.3,57,1764.15,802.43,961.72
24,2026-04-13 04:00:00,5325.35,2026-04-13 04:15:00,5356.3,57,1764.15,802.43,961.72
25,2026-04-13 04:45:00,5325.35,2026-04-15 03:45:00,5356.3,57,1764.15,802.43,961.72
26,2026-04-15 03:45:00,5294.4,2026-04-15 04:45:00,5325.35,57,1764.15,798.05,966.1
27,2026-04-01 04:30:00,5170.6,2026-04-16 04:45:00,5201.55,57,1764.15,780.52,983.63
28,2026-04-16 04:45:00,5201.55,2026-04-17 04:00:00,5232.5,57,1764.15,784.9,979.25
29,2026-04-17 04:15:00,5201.55,2026-04-17 04:30:00,5232.5,57,1764.15,784.9,979.25
30,2026-04-17 04:45:00,5232.5,2026-04-20 03:45:00,5263.45,57,1764.15,789.28,974.87
31,2026-04-20 04:15:00,5232.5,2026-04-20 04:30:00,5263.45,57,1764.15,789.28,974.87
32,2026-04-20 06:45:00,5294.4,2026-05-07 03:45:00,5325.35,57,1764.15,798.05,966.1
33,2026-05-07 04:00:00,5325.35,2026-05-07 04:00:00,5356.3,57,1764.15,802.43,961.72
34,2026-04-15 05:00:00,5325.35,2026-05-07 04:15:00,5356.3,57,1764.15,802.43,961.72
35,2026-05-07 04:45:00,5325.35,2026-05-07 06:15:00,5356.3,57,1764.15,802.43,961.72
36,2026-05-07 06:30:00,5418.2,2026-05-07 06:45:00,5449.15,57,1764.15,815.57,948.58
37,2026-05-07 07:00:00,5418.2,2026-05-07 07:30:00,5449.15,57,1764.15,815.57,948.58
38,2026-05-07 04:15:00,5325.35,2026-05-07 09:15:00,5356.3,57,1764.15,802.43,961.72
39,2026-05-07 09:15:00,5356.3,2026-05-08 04:30:00,5387.25,57,1764.15,806.81,957.34
