symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
BIOCON,2026-04-08,2026-04-17,INVENTORY_SOLD_OUT,9,346.15,398.46,3.2,820,1000000,4,0,10496.0,3036.26,7459.74,0,8692.0
INDUSTOWER,2026-04-17,2026-04-21,INVENTORY_SOLD_OUT,4,409.98,477.0,3.3,1081,1000000,2,0,7134.6,2310.26,4824.34,0,18416.4
PATANJALI,2026-04-08,2026-04-22,INVENTORY_SOLD_OUT,14,461.44,553.08,3.95,614,1000000,9,0,21827.7,6816.9,15010.8,0,19463.8
PATANJALI,2026-04-30,2026-05-13,BREAKDOWN,13,456.12,536.98,2.85,623,1000000,7,3,-10559.85,7559.97,-18119.82,-25242.32,37550.55
INDUSTOWER,2026-04-30,2026-05-14,INVENTORY_SOLD_OUT,14,402.99,477.0,2.8,517,1000000,12,0,17371.2,6850.34,10520.86,0,21294.18
WIPRO,2026-05-13,2026-05-15,INVENTORY_SOLD_OUT,2,187.66,217.03,0.85,2367,1000000,4,0,8047.8,4617.38,3430.42,0,5295.97
LENSKART,2026-05-13,2026-05-19,INVENTORY_SOLD_OUT,6,473.73,548.1,5.0,935,1000000,5,0,23375.0,5766.35,17608.65,0,33918.7
WIPRO,2026-05-18,2026-05-21,INVENTORY_SOLD_OUT,3,187.29,216.4,0.9,1116,1000000,6,0,6026.4,3547.25,2479.15,0,5339.99
TATACAP,2026-05-13,2026-05-26,INVENTORY_SOLD_OUT,13,304.49,357.76,1.7,1457,1000000,4,0,9907.6,4689.9,5217.7,0,40198.56
MAXHEALTH,2026-04-08,2026-05-27,SIM_END,49,933.56,1095.84,7.55,304,1000000,8,0,18361.6,6110.28,12251.32,0,1712.27
CANHLIFE,2026-05-15,2026-05-27,SIM_END,12,134.72,153.73,1.05,3291,1000000,1,0,3455.55,1150.83,2304.72,0,1859.56
SAMMAANCAP,2026-05-19,2026-05-27,SIM_END,8,136.96,157.4,1.3,3231,1000000,1,0,4200.3,1149.4,3050.9,0,6397.38
NAUKRI,2026-05-21,2026-05-27,SIM_END,6,921.44,1081.1,6.5,481,1000000,4,0,12506.0,4617.01,7888.99,0,12807.48
TCS,2026-05-26,2026-05-27,SIM_END,1,2268.16,2647.84,13.4,195,1000000,1,1,1491.75,2298.85,-807.1,-2272.44,4960.57
