date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-07,5000000.0,5,0,0,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-08,5035662.52,5,0,15,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-09,5016606.53,5,0,10,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-10,5066482.02,5,0,9,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-13,4978238.04,5,0,6,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-15,5023930.61,5,0,12,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-16,5003978.49,5,0,11,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-17,5051779.09,4,1014255.72,18,"HEROMOTOCO,TATACAP,RRKABEL,PIRAMALFIN"
2026-04-20,5034282.36,5,14255.72,4,"HEROMOTOCO,TATACAP,RRKABEL,PIRAMALFIN,PIDILITIND"
2026-04-21,5047811.0,3,1985190.54,4,"TATACAP,RRKABEL,PIDILITIND"
2026-04-22,5066388.45,3,1985190.54,7,"TATACAP,RRKABEL,PIDILITIND"
2026-04-23,5041952.61,3,1985190.54,8,"TATACAP,RRKABEL,PIDILITIND"
2026-04-24,5043127.46,3,1985190.54,4,"TATACAP,RRKABEL,PIDILITIND"
2026-04-27,5078766.71,4,1051484.82,4,"TATACAP,PIDILITIND,HEROMOTOCO,PIRAMALFIN"
2026-04-28,5055343.74,5,51484.82,2,"TATACAP,PIDILITIND,HEROMOTOCO,PIRAMALFIN,RRKABEL"
2026-04-29,5049505.84,5,51484.82,3,"TATACAP,PIDILITIND,HEROMOTOCO,PIRAMALFIN,RRKABEL"
2026-04-30,5070867.66,5,51484.82,4,"TATACAP,PIDILITIND,HEROMOTOCO,PIRAMALFIN,RRKABEL"
2026-05-04,5084527.46,4,1022574.25,2,"TATACAP,HEROMOTOCO,PIRAMALFIN,RRKABEL"
2026-05-05,5095161.53,3,2034234.1,5,"TATACAP,HEROMOTOCO,RRKABEL"
2026-05-06,5130145.15,2,3055894.87,7,"TATACAP,RRKABEL"
2026-05-07,5150770.65,2,3055894.87,0,"TATACAP,RRKABEL"
2026-05-08,5141878.99,1,4054924.56,0,RRKABEL
2026-05-11,5137098.39,0,5137098.39,0,
2026-05-12,5137098.39,0,5137098.39,0,
2026-05-13,5137098.39,0,5137098.39,0,
2026-05-14,5137098.39,0,5137098.39,0,
2026-05-15,5137098.39,0,5137098.39,0,
2026-05-18,5137098.39,0,5137098.39,0,
2026-05-19,5137098.39,0,5137098.39,0,
2026-05-20,5137098.39,0,5137098.39,0,
2026-05-21,5137098.39,3,2137098.39,0,"NAUKRI,HEROMOTOCO,ASTRAL"
2026-05-22,5156095.95,3,2137098.39,16,"NAUKRI,HEROMOTOCO,ASTRAL"
2026-05-25,5153100.56,3,2137098.39,6,"NAUKRI,HEROMOTOCO,ASTRAL"
2026-05-26,5204135.95,3,2137098.39,22,"NAUKRI,HEROMOTOCO,ASTRAL"
