symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
BIOCON,2026-04-08,2026-05-05,INVENTORY_SOLD_OUT,27,346.15,398.46,3.2,820,1000000,17,0,44608.0,13179.45,31428.55,0,25720.63
PATANJALI,2026-04-08,2026-05-11,NO_TRADE_TIMEOUT (12d),33,461.44,553.08,3.95,614,1000000,11,3,-1412.2,10600.82,-12013.02,-30356.88,29950.78
OIL,2026-05-11,2026-05-13,INVENTORY_SOLD_OUT,2,451.64,504.01,3.35,629,1000000,13,0,27392.95,10602.32,16790.63,0,8433.18
MAXHEALTH,2026-04-08,2026-05-18,INVENTORY_SOLD_OUT,40,933.56,1095.84,7.55,304,1000000,49,0,112464.8,39547.25,72917.55,0,27886.55
WIPRO,2026-05-13,2026-05-18,INVENTORY_SOLD_OUT,5,187.66,217.03,0.85,2367,1000000,10,0,20119.5,11628.4,8491.1,0,6575.21
LENSKART,2026-05-18,2026-05-22,INVENTORY_SOLD_OUT,4,472.8,548.1,5.15,936,1000000,15,0,72306.0,18028.59,54277.41,0,10126.22
INDUSTOWER,2026-04-30,2026-05-25,INVENTORY_SOLD_OUT,25,402.99,477.0,2.8,517,1000000,42,0,60799.2,24700.6,36098.6,0,21294.18
INDIANB,2026-05-11,2026-05-27,SIM_END,16,832.71,990.78,7.55,531,1000000,4,2,3265.65,6914.08,-3648.43,-15080.87,36667.21
TATACAP,2026-05-13,2026-05-27,SIM_END,14,304.49,357.76,1.7,1457,1000000,6,2,2622.6,9433.86,-6811.26,-14607.05,40198.56
HEROMOTOCO,2026-05-18,2026-05-27,SIM_END,9,4931.6,5767.7,41.6,89,1000000,8,1,31328.0,10360.78,20967.22,551.85,14095.68
