symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
MAXHEALTH,2026-04-08,2026-04-17,INVENTORY_SOLD_OUT,9,933.56,1095.84,7.55,304,1000000,12,0,27542.4,9364.91,18177.49,0,11097.65
BIOCON,2026-04-08,2026-04-17,INVENTORY_SOLD_OUT,9,346.15,398.46,3.2,820,1000000,4,0,10496.0,3036.26,7459.74,0,8692.0
INDUSTOWER,2026-04-17,2026-04-21,INVENTORY_SOLD_OUT,4,409.98,477.0,3.3,1081,1000000,2,0,7134.6,2310.26,4824.34,0,18416.4
PATANJALI,2026-04-08,2026-05-11,NO_TRADE_TIMEOUT (12d),33,461.44,553.08,3.95,614,1000000,11,3,-1412.2,10600.82,-12013.02,-30356.88,29950.78
INDUSTOWER,2026-04-22,2026-05-14,INVENTORY_SOLD_OUT,22,408.73,477.0,2.95,510,1000000,14,0,21063.0,7985.06,13077.94,0,31728.52
WIPRO,2026-05-14,2026-05-18,INVENTORY_SOLD_OUT,4,187.29,216.5,0.9,1520,1000000,5,0,6840.0,3841.06,2998.94,0,7227.43
LENSKART,2026-05-14,2026-05-22,INVENTORY_SOLD_OUT,8,473.73,548.1,4.95,937,1000000,13,0,60295.95,15453.27,44842.68,0,33991.21
OIL,2026-05-11,2026-05-25,NO_TRADE_TIMEOUT (13d),14,451.64,504.01,3.35,629,1000000,4,1,8900.35,4027.01,4873.34,-328.43,8433.18
INDIANB,2026-05-11,2026-05-27,SIM_END,16,832.71,990.78,7.55,531,1000000,4,2,3265.65,6914.08,-3648.43,-15080.87,36667.21
HEROMOTOCO,2026-05-18,2026-05-27,SIM_END,9,4931.6,5767.7,41.6,89,1000000,8,1,31328.0,10360.78,20967.22,551.85,14095.68
TCS,2026-05-18,2026-05-27,SIM_END,9,2268.16,2720.31,14.15,125,1000000,2,3,-25431.25,3868.12,-29299.37,-31278.77,33245.63
