cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
1,2026-03-24 03:45:00,2399.65,2026-03-24 05:45:00,2412.8,195,2564.25,1211.3,1352.95
2,2026-03-24 04:00:00,2386.5,2026-03-24 05:45:00,2399.65,195,2564.25,1204.93,1359.32
3,2026-03-24 06:30:00,2425.95,2026-04-01 03:45:00,2439.1,195,2564.25,1224.04,1340.21
4,2026-04-01 04:00:00,2439.1,2026-04-01 04:00:00,2452.25,195,2564.25,1230.41,1333.84
5,2026-03-24 06:15:00,2425.95,2026-04-01 04:00:00,2439.1,195,2564.25,1224.04,1340.21
6,2026-04-01 04:15:00,2452.25,2026-04-01 04:15:00,2465.4,195,2564.25,1236.77,1327.48
7,2026-04-01 06:45:00,2439.1,2026-04-02 08:00:00,2452.25,195,2564.25,1230.41,1333.84
8,2026-04-02 08:15:00,2439.1,2026-04-02 08:30:00,2452.25,195,2564.25,1230.41,1333.84
9,2026-04-02 08:45:00,2452.25,2026-04-02 09:00:00,2465.4,195,2564.25,1236.77,1327.48
10,2026-04-02 09:00:00,2452.25,2026-04-06 03:45:00,2465.4,195,2564.25,1236.77,1327.48
11,2026-04-06 03:45:00,2452.25,2026-04-06 04:00:00,2465.4,195,2564.25,1236.77,1327.48
12,2026-04-06 04:00:00,2452.25,2026-04-06 06:45:00,2465.4,195,2564.25,1236.77,1327.48
13,2026-04-01 04:45:00,2452.25,2026-04-06 07:00:00,2465.4,195,2564.25,1236.77,1327.48
14,2026-04-06 07:15:00,2465.4,2026-04-06 07:30:00,2478.55,195,2564.25,1243.14,1321.11
15,2026-04-07 03:45:00,2465.4,2026-04-07 03:45:00,2478.55,195,2564.25,1243.14,1321.11
16,2026-04-07 03:45:00,2452.25,2026-04-07 03:45:00,2465.4,195,2564.25,1236.77,1327.48
17,2026-04-07 04:15:00,2478.55,2026-04-07 04:15:00,2491.7,195,2564.25,1249.51,1314.74
18,2026-04-07 04:00:00,2478.55,2026-04-07 04:30:00,2491.7,195,2564.25,1249.51,1314.74
19,2026-04-07 04:30:00,2491.7,2026-04-07 04:45:00,2504.85,195,2564.25,1255.88,1308.37
20,2026-04-07 05:30:00,2518.0,2026-04-07 05:45:00,2531.15,195,2564.25,1268.61,1295.64
21,2026-04-07 06:30:00,2531.15,2026-04-08 03:45:00,2544.3,195,2564.25,1274.98,1289.27
22,2026-04-07 06:15:00,2531.15,2026-04-08 04:00:00,2544.3,195,2564.25,1274.98,1289.27
23,2026-04-08 03:45:00,2544.3,2026-04-08 04:15:00,2557.45,195,2564.25,1281.35,1282.9
24,2026-04-08 05:00:00,2544.3,2026-04-08 05:00:00,2557.45,195,2564.25,1281.35,1282.9
25,2026-04-08 04:45:00,2544.3,2026-04-08 05:15:00,2557.45,195,2564.25,1281.35,1282.9
26,2026-04-08 05:30:00,2557.45,2026-04-08 06:15:00,2570.6,195,2564.25,1287.72,1276.53
27,2026-04-08 05:15:00,2557.45,2026-04-08 06:45:00,2570.6,195,2564.25,1287.72,1276.53
28,2026-04-08 08:00:00,2557.45,2026-04-09 03:45:00,2570.6,195,2564.25,1287.72,1276.53
29,2026-04-08 07:00:00,2557.45,2026-04-09 04:00:00,2570.6,195,2564.25,1287.72,1276.53
30,2026-04-09 04:15:00,2557.45,2026-04-09 04:15:00,2570.6,195,2564.25,1287.72,1276.53
31,2026-04-09 04:30:00,2557.45,2026-04-09 04:45:00,2570.6,195,2564.25,1287.72,1276.53
32,2026-04-09 04:45:00,2557.45,2026-04-09 05:30:00,2570.6,195,2564.25,1287.72,1276.53
33,2026-04-09 04:00:00,2557.45,2026-04-09 05:45:00,2570.6,195,2564.25,1287.72,1276.53
34,2026-04-09 06:15:00,2583.75,2026-04-09 06:15:00,2596.9,195,2564.25,1300.45,1263.8
35,2026-04-09 06:45:00,2583.75,2026-04-09 07:15:00,2596.9,195,2564.25,1300.45,1263.8
36,2026-04-09 08:00:00,2583.75,2026-04-21 06:00:00,2596.9,195,2564.25,1300.45,1263.8
37,2026-04-21 07:15:00,2596.9,2026-04-21 09:30:00,2610.05,195,2564.25,1306.82,1257.43
38,2026-04-09 07:30:00,2596.9,2026-04-21 09:45:00,2610.05,195,2564.25,1306.82,1257.43
39,2026-04-22 04:00:00,2557.45,2026-04-22 04:00:00,2570.6,195,2564.25,1287.72,1276.53
