symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
TATACAP,2026-04-07,2026-04-15,INVENTORY_SOLD_OUT,8,304.97,363.93,2.2,931,1000000,18,0,36867.6,14404.13,22463.47,0,19387.83
RRKABEL,2026-04-07,2026-04-16,INVENTORY_SOLD_OUT,9,1299.63,1558.1,12.45,218,1000000,21,0,56996.1,16856.91,40139.19,0,21131.62
HEROMOTOCO,2026-04-07,2026-04-21,NO_TRADE_TIMEOUT (11d),14,5034.9,5890.05,42.55,88,1000000,9,2,9486.4,13337.08,-3850.68,-26647.18,47875.49
INDUSTOWER,2026-04-16,2026-04-27,BREAKDOWN,11,411.19,477.0,3.4,1078,1000000,4,2,-15523.2,6921.43,-22444.63,-32483.48,42957.63
PIDILITIND,2026-04-07,2026-05-04,NO_TRADE_TIMEOUT (11d),27,1276.78,1514.93,10.05,222,1000000,11,3,-3996.0,11432.34,-15428.34,-30984.97,47488.0
PATANJALI,2026-04-15,2026-05-11,NO_TRADE_TIMEOUT (12d),26,457.56,538.97,3.4,455,1000000,15,4,-4732.0,10900.68,-15632.68,-30225.51,27294.27
OIL,2026-05-11,2026-05-13,INVENTORY_SOLD_OUT,2,451.64,504.01,3.35,629,1000000,17,0,35821.55,13876.24,21945.31,0,8246.72
PIRAMALFIN,2026-04-07,2026-05-18,NO_TRADE_TIMEOUT (13d),41,1681.12,1909.3,17.9,168,1000000,24,1,82689.6,19997.26,62692.34,9692.68,65280.64
CANHLIFE,2026-04-27,2026-05-18,BREAKDOWN,21,138.36,154.05,1.45,3198,1000000,4,2,-37960.26,6995.49,-44955.75,-58836.48,90849.29
WIPRO,2026-05-13,2026-05-18,INVENTORY_SOLD_OUT,5,187.66,217.03,0.85,2367,1000000,10,0,20119.5,11628.4,8491.1,0,6575.21
HEROMOTOCO,2026-04-27,2026-05-19,NO_TRADE_TIMEOUT (11d),22,4983.3,5841.2,29.65,41,1000000,30,4,-25206.8,19564.04,-44770.84,-64008.89,78419.62
IGIL,2026-05-18,2026-05-20,INVENTORY_SOLD_OUT,2,309.76,370.04,3.25,915,1000000,15,0,44606.25,12120.87,32485.38,0,8997.0
SAMMAANCAP,2026-05-19,2026-05-22,INVENTORY_SOLD_OUT,3,136.96,157.4,1.3,3231,1000000,14,0,58804.2,17458.11,41346.09,0,16995.06
INDIANB,2026-05-11,2026-05-26,SIM_END,15,832.71,990.78,7.55,531,1000000,4,2,4911.75,6915.38,-2003.63,-13436.07,36667.21
LENSKART,2026-05-18,2026-05-26,SIM_END,8,472.8,548.1,5.15,936,1000000,10,1,45162.0,13242.67,31919.33,-4281.57,22496.56
TCS,2026-05-18,2026-05-26,SIM_END,8,2268.16,2720.31,14.15,125,1000000,4,3,-21743.75,5421.95,-27165.7,-31128.89,29983.13
NAUKRI,2026-05-21,2026-05-26,SIM_END,5,921.44,1081.1,6.5,481,1000000,12,2,35113.0,16758.31,18354.69,-4846.41,62916.11
HEROMOTOCO,2026-05-25,2026-05-26,SIM_END,1,4923.0,5767.7,33.25,57,1000000,3,2,3049.5,3765.15,-715.65,-4145.85,5244.91
