date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-08,5000000.0,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-09,4986665.53,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-10,5007490.28,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-13,4998700.96,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-15,5010822.67,3,2000000,1,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-16,5015248.03,3,2000000,5,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-17,5032820.07,2,3025637.22,7,"PATANJALI,INDUSTOWER"
2026-04-20,5009335.39,2,3025637.22,1,"PATANJALI,INDUSTOWER"
2026-04-21,5042533.24,1,4030461.56,4,PATANJALI
2026-04-22,5044220.34,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-04-23,5041897.92,2,3030461.56,0,"PATANJALI,INDUSTOWER"
2026-04-24,5032150.21,2,3030461.56,0,"PATANJALI,INDUSTOWER"
2026-04-27,5040355.84,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-04-28,5034356.4,2,3030461.56,2,"PATANJALI,INDUSTOWER"
2026-04-29,5043086.17,2,3030461.56,3,"PATANJALI,INDUSTOWER"
2026-04-30,5025363.38,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-05-04,5007069.69,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-05-05,5012568.09,2,3030461.56,0,"PATANJALI,INDUSTOWER"
2026-05-06,5027324.2,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-05-07,5023912.97,2,3030461.56,1,"PATANJALI,INDUSTOWER"
2026-05-08,5027643.47,2,3030461.56,0,"PATANJALI,INDUSTOWER"
2026-05-11,5020531.22,3,2018448.54,2,"INDUSTOWER,INDIANB,OIL"
2026-05-12,4991532.67,3,2018448.54,5,"INDUSTOWER,INDIANB,OIL"
2026-05-13,5008510.42,3,2018448.54,2,"INDUSTOWER,INDIANB,OIL"
2026-05-14,5033020.9,4,1031526.48,2,"INDIANB,OIL,LENSKART,WIPRO"
2026-05-15,5007848.63,4,1031526.48,3,"INDIANB,OIL,LENSKART,WIPRO"
2026-05-18,5019673.63,5,34525.42,5,"INDIANB,OIL,LENSKART,HEROMOTOCO,TCS"
2026-05-19,5033425.89,5,34525.42,7,"INDIANB,OIL,LENSKART,HEROMOTOCO,TCS"
2026-05-20,5022994.34,5,34525.42,3,"INDIANB,OIL,LENSKART,HEROMOTOCO,TCS"
2026-05-21,5052035.24,5,34525.42,5,"INDIANB,OIL,LENSKART,HEROMOTOCO,TCS"
2026-05-22,5068250.37,4,1079368.1,2,"INDIANB,OIL,HEROMOTOCO,TCS"
2026-05-25,5088645.2,3,2084241.44,4,"INDIANB,HEROMOTOCO,TCS"
2026-05-26,5068936.23,3,2084241.44,1,"INDIANB,HEROMOTOCO,TCS"
2026-05-27,5074132.38,3,2084241.44,1,"INDIANB,HEROMOTOCO,TCS"
