date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-07,5000000.0,5,0,0,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-08,4991597.96,5,0,14,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-09,4980159.19,5,0,7,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-10,5026146.38,5,0,11,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-13,4958461.34,5,0,3,"HEROMOTOCO,TATACAP,RRKABEL,PIDILITIND,PIRAMALFIN"
2026-04-15,5009466.36,5,22463.47,11,"HEROMOTOCO,RRKABEL,PIDILITIND,PIRAMALFIN,PATANJALI"
2026-04-16,4989695.63,5,62602.66,10,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-17,5033084.35,5,62602.66,6,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-20,5004511.07,5,62602.66,2,"HEROMOTOCO,PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-21,5059985.39,4,1058751.98,7,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-22,5097679.37,4,1058751.98,12,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-23,5092497.83,4,1058751.98,5,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-24,5082533.68,4,1058751.98,5,"PIDILITIND,PIRAMALFIN,PATANJALI,INDUSTOWER"
2026-04-27,5087961.18,5,36307.35,4,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-28,5136297.76,5,36307.35,5,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-29,5170793.96,5,36307.35,5,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-04-30,5126447.3,5,36307.35,0,"PIDILITIND,PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-04,5090778.39,4,1020879.01,6,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-05,5102994.05,4,1020879.01,5,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-06,5094520.8,4,1020879.01,6,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-07,5101313.12,4,1020879.01,9,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-08,5110556.9,4,1020879.01,3,"PIRAMALFIN,PATANJALI,CANHLIFE,HEROMOTOCO"
2026-05-11,5067109.62,5,5246.33,0,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,OIL"
2026-05-12,5000295.7,5,5246.33,12,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,OIL"
2026-05-13,4993656.33,5,27191.64,6,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-14,5023356.64,5,27191.64,3,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-15,5001016.98,5,27191.64,3,"PIRAMALFIN,CANHLIFE,HEROMOTOCO,INDIANB,WIPRO"
2026-05-18,4977165.81,5,53419.33,5,"HEROMOTOCO,INDIANB,LENSKART,TCS,IGIL"
2026-05-19,5007134.45,5,8648.49,13,"INDIANB,LENSKART,TCS,IGIL,SAMMAANCAP"
2026-05-20,5034494.4,4,1041133.88,16,"INDIANB,LENSKART,TCS,SAMMAANCAP"
2026-05-21,5039918.24,5,41133.88,8,"INDIANB,LENSKART,TCS,SAMMAANCAP,NAUKRI"
2026-05-22,5089468.81,4,1082479.96,11,"INDIANB,LENSKART,TCS,NAUKRI"
2026-05-25,5065655.82,5,82479.96,3,"INDIANB,LENSKART,TCS,NAUKRI,HEROMOTOCO"
2026-05-26,5106056.78,5,82479.96,9,"INDIANB,LENSKART,TCS,NAUKRI,HEROMOTOCO"
