date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-08,5000000.0,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-09,4986665.53,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-10,5007490.28,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-13,4998700.96,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-15,5008736.76,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-16,5015357.46,3,2000000,3,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-17,5023828.23,3,2007459.74,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-04-20,5000343.55,3,2007459.74,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-04-21,5033541.4,2,3012284.07,4,"MAXHEALTH,PATANJALI"
2026-04-22,5036480.52,1,4027294.88,1,MAXHEALTH
2026-04-23,5036480.52,1,4027294.88,0,MAXHEALTH
2026-04-24,5036480.52,1,4027294.88,0,MAXHEALTH
2026-04-27,5036480.52,1,4027294.88,0,MAXHEALTH
2026-04-28,5036480.52,1,4027294.88,0,MAXHEALTH
2026-04-29,5036480.52,1,4027294.88,0,MAXHEALTH
2026-04-30,5039546.2,3,2027294.88,2,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-04,5018446.65,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-05,5024903.98,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-06,5038536.91,3,2027294.88,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-07,5034798.04,3,2027294.88,2,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-08,5040298.87,3,2027294.88,3,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-11,5038369.96,3,2027294.88,2,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-12,4997295.76,3,2027294.88,1,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-13,5030176.92,5,9175.06,4,"MAXHEALTH,INDUSTOWER,WIPRO,TATACAP,LENSKART"
2026-05-14,5028361.97,4,1019695.91,5,"MAXHEALTH,WIPRO,TATACAP,LENSKART"
2026-05-15,5025052.24,4,1023126.33,5,"MAXHEALTH,TATACAP,LENSKART,CANHLIFE"
2026-05-18,5025531.74,5,23126.33,1,"MAXHEALTH,TATACAP,LENSKART,CANHLIFE,WIPRO"
2026-05-19,5029743.33,5,40734.98,4,"MAXHEALTH,TATACAP,CANHLIFE,WIPRO,SAMMAANCAP"
2026-05-20,5032254.36,5,40734.98,4,"MAXHEALTH,TATACAP,CANHLIFE,WIPRO,SAMMAANCAP"
2026-05-21,5024990.21,5,43214.13,1,"MAXHEALTH,TATACAP,CANHLIFE,SAMMAANCAP,NAUKRI"
2026-05-22,5034471.31,5,43214.13,2,"MAXHEALTH,TATACAP,CANHLIFE,SAMMAANCAP,NAUKRI"
2026-05-25,5069285.76,5,43214.13,3,"MAXHEALTH,TATACAP,CANHLIFE,SAMMAANCAP,NAUKRI"
2026-05-26,5073927.76,5,48431.83,1,"MAXHEALTH,CANHLIFE,SAMMAANCAP,NAUKRI,TCS"
2026-05-27,5073495.61,5,48431.83,1,"MAXHEALTH,CANHLIFE,SAMMAANCAP,NAUKRI,TCS"
