date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-08,5000000.0,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-09,4985770.18,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-10,5006108.53,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-13,4994159.46,3,2000000,3,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-15,5015389.84,3,2000000,3,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-16,5019815.2,3,2000000,5,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-17,5039685.8,3,2000000,8,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-20,5033271.82,3,2000000,5,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-21,5055106.71,3,2000000,5,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-22,5048214.49,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-23,5051623.64,3,2000000,3,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-24,5018993.36,3,2000000,1,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-27,5063215.39,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-28,5057823.03,3,2000000,1,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-29,5061559.41,3,2000000,5,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-30,5032372.57,4,1000000,0,"MAXHEALTH,PATANJALI,BIOCON,INDUSTOWER"
2026-05-04,5034477.29,4,1000000,3,"MAXHEALTH,PATANJALI,BIOCON,INDUSTOWER"
2026-05-05,5038694.91,3,2031428.55,3,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-06,5068380.96,3,2031428.55,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-07,5065935.19,3,2031428.55,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-08,5074759.8,3,2031428.55,4,"MAXHEALTH,PATANJALI,INDUSTOWER"
2026-05-11,5081976.23,4,1019415.53,8,"MAXHEALTH,INDUSTOWER,INDIANB,OIL"
2026-05-12,5045611.13,4,1019415.53,11,"MAXHEALTH,INDUSTOWER,INDIANB,OIL"
2026-05-13,5079699.92,5,36206.16,10,"MAXHEALTH,INDUSTOWER,INDIANB,WIPRO,TATACAP"
2026-05-14,5106945.11,5,36206.16,10,"MAXHEALTH,INDUSTOWER,INDIANB,WIPRO,TATACAP"
2026-05-15,5100802.95,5,36206.16,10,"MAXHEALTH,INDUSTOWER,INDIANB,WIPRO,TATACAP"
2026-05-18,5093916.0,5,117614.81,13,"INDUSTOWER,INDIANB,TATACAP,LENSKART,HEROMOTOCO"
2026-05-19,5114607.44,5,117614.81,9,"INDUSTOWER,INDIANB,TATACAP,LENSKART,HEROMOTOCO"
2026-05-20,5094311.88,5,117614.81,5,"INDUSTOWER,INDIANB,TATACAP,LENSKART,HEROMOTOCO"
2026-05-21,5132534.82,5,117614.81,11,"INDUSTOWER,INDIANB,TATACAP,LENSKART,HEROMOTOCO"
2026-05-22,5166929.17,4,1171892.23,5,"INDUSTOWER,INDIANB,TATACAP,HEROMOTOCO"
2026-05-25,5225408.36,3,2207990.83,9,"INDIANB,TATACAP,HEROMOTOCO"
2026-05-26,5228955.05,3,2207990.83,4,"INDIANB,TATACAP,HEROMOTOCO"
2026-05-27,5220388.91,3,2207990.83,1,"INDIANB,TATACAP,HEROMOTOCO"
