timestamp,side,price,qty,grid_level,cost,pnl
2026-03-24 03:45:00,BUY,2393.55,125,2393.55,529.7490588125,0.0
2026-03-24 04:00:00,BUY,2386.95,125,2386.95,528.3533980625,0.0
2026-03-24 04:30:00,BUY,2380.35,125,2380.35,526.9577373125001,0.0
2026-03-24 04:45:00,SELL,2393.55,125,2393.55,260.4746838125,36.171918125045465
2026-03-24 04:45:00,SELL,2386.95,125,2386.95,259.8215230625,38.220739624988596
2026-03-24 05:00:00,BUY,2386.95,125,2386.95,528.3533980625,0.0
2026-03-24 05:30:00,BUY,2386.95,125,2386.95,528.3533980625,0.0
2026-03-24 05:30:00,SELL,2393.55,125,2393.55,260.4746838125,36.171918125045465
2026-03-24 05:45:00,BUY,2400.15,125,2400.15,531.1447195625,0.0
2026-03-24 05:45:00,SELL,2406.75,125,2406.75,261.7810053125,32.074275124988674
2026-03-24 05:45:00,SELL,2400.15,125,2400.15,261.1278445625,34.12309662498859
2026-03-24 06:00:00,BUY,2419.95,125,2419.95,535.3317018124999,0.0
2026-03-24 06:00:00,SELL,2426.55,125,2426.55,263.7404875625,25.927810625045595
2026-03-24 06:15:00,BUY,2426.55,125,2426.55,536.7273625625,0.0
2026-03-24 06:15:00,SELL,2433.15,125,2433.15,264.3936483125,23.878989124988607
2026-03-24 06:30:00,BUY,2426.55,125,2426.55,536.7273625625,0.0
2026-03-24 06:45:00,SELL,2433.15,125,2433.15,264.3936483125,23.878989124988607
2026-03-24 06:45:00,BUY,2426.55,125,2426.55,536.7273625625,0.0
2026-03-24 07:00:00,BUY,2419.95,125,2419.95,535.3317018124999,0.0
2026-03-24 08:15:00,SELL,2426.55,125,2426.55,263.7404875625,25.927810625045595
2026-03-24 08:15:00,BUY,2419.95,125,2419.95,535.3317018124999,0.0
2026-03-25 03:45:00,SELL,2393.55,125,2393.55,260.4746838125,36.171918125045465
2026-03-25 03:45:00,BUY,2393.55,125,2393.55,529.7490588125,0.0
2026-03-25 04:15:00,SELL,2400.15,125,2400.15,261.1278445625,34.12309662498859
2026-03-25 04:45:00,BUY,2413.35,125,2413.35,533.9360410625,0.0
2026-03-25 04:45:00,SELL,2419.95,125,2419.95,263.08732681249995,27.976632124988726
2026-03-25 06:00:00,BUY,2413.35,125,2413.35,533.9360410625,0.0
2026-03-27 07:00:00,SELL,2419.95,125,2419.95,263.08732681249995,27.976632124988726
2026-03-27 07:45:00,BUY,2413.35,125,2413.35,533.9360410625,0.0
2026-04-01 03:45:00,SELL,2433.15,125,2433.15,264.3936483125,23.878989124988607
2026-04-01 03:45:00,SELL,2426.55,125,2426.55,263.7404875625,25.927810625045595
2026-04-01 03:45:00,SELL,2419.95,125,2419.95,263.08732681249995,27.976632124988726
2026-04-01 04:00:00,BUY,2439.75,125,2439.75,539.5186840624999,0.0
2026-04-01 04:00:00,SELL,2446.35,125,2446.35,265.6999698125,19.781346124988715
2026-04-01 04:15:00,BUY,2452.95,125,2452.95,542.3100055625,0.0
2026-04-01 04:15:00,SELL,2459.55,125,2459.55,267.0062913125,15.68370312504544
2026-04-01 04:30:00,BUY,2459.55,125,2459.55,543.7056663125001,0.0
2026-04-01 04:45:00,SELL,2466.15,125,2466.15,267.6594520625,13.634881624988566
2026-04-01 04:45:00,BUY,2452.95,125,2452.95,542.3100055625,0.0
2026-04-01 04:45:00,BUY,2459.55,125,2459.55,543.7056663125001,0.0
2026-04-01 05:00:00,SELL,2459.55,125,2459.55,267.0062913125,15.68370312504544
2026-04-01 05:30:00,BUY,2446.35,125,2446.35,540.9143448125,0.0
2026-04-01 05:45:00,BUY,2446.35,125,2446.35,540.9143448125,0.0
2026-04-01 05:45:00,SELL,2452.95,125,2452.95,266.3531305625,17.732524624988685
2026-04-01 06:00:00,BUY,2446.35,125,2446.35,540.9143448125,0.0
2026-04-02 08:00:00,SELL,2452.95,125,2452.95,266.3531305625,17.732524624988685
2026-04-02 08:15:00,SELL,2452.95,125,2452.95,266.3531305625,17.732524624988685
2026-04-02 08:15:00,BUY,2439.75,125,2439.75,539.5186840624999,0.0
