timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-03-24 03:45:00,1000078.33,1000078.33,0,0.0,78.33,0.0
2026-03-24 04:00:00,999446.79,828638.79,33,170808.0,78.33,-318.45
2026-03-24 04:15:00,998335.95,657709.95,66,340626.0,78.33,-1117.05
2026-03-24 04:30:00,998395.04,487802.54,99,510592.5,78.33,-747.45
2026-03-24 04:45:00,999484.04,487802.54,99,511681.5,78.33,341.55
2026-03-24 05:00:00,995466.11,487843.61,99,507622.5,119.4,-3717.45
2026-03-24 05:15:00,996893.18,487884.68,99,509008.5,160.47,-2331.45
2026-03-24 05:30:00,997700.15,657833.15,66,339867.0,201.53,-1876.05
2026-03-24 05:45:00,997799.15,657833.15,66,339966.0,201.53,-1777.05
2026-03-24 06:00:00,999092.95,657872.95,66,341220.0,241.33,-523.05
2026-03-24 06:15:00,998229.62,486944.12,99,511285.5,241.33,-1074.15
2026-03-24 06:30:00,997597.28,316015.28,132,681582.0,241.33,-1394.25
2026-03-24 06:45:00,1003370.13,487530.63,99,515839.5,317.13,3989.7
2026-03-24 07:00:00,1008437.84,487598.84,99,520839.0,385.34,8989.2
2026-03-24 07:15:00,1006390.44,314116.44,132,692274.0,385.34,7258.35
2026-03-24 07:30:00,1009128.64,314148.64,132,694980.0,417.54,9964.35
2026-03-24 07:45:00,1013582.18,487694.18,99,525888.0,480.68,14038.2
2026-03-24 08:00:00,1012790.18,487694.18,99,525096.0,480.68,13246.2
2026-03-24 08:15:00,1011008.36,313190.36,132,697818.0,480.68,11782.65
2026-03-24 08:30:00,1013101.31,312709.31,132,700392.0,510.35,13846.8
2026-03-24 08:45:00,1012271.72,312737.72,132,699534.0,538.75,12988.8
2026-03-24 09:00:00,1009763.9,138233.9,165,871530.0,538.75,10799.25
2026-03-24 09:15:00,1008938.9,138233.9,165,870705.0,538.75,9974.25
2026-03-24 09:30:00,1003741.4,138233.9,165,865507.5,538.75,4776.75
2026-03-24 09:45:00,1005803.9,138233.9,165,867570.0,538.75,6839.25
2026-03-25 03:45:00,1015975.33,487810.33,99,528165.0,596.83,16315.2
