timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-03-24 03:45:00,998297.55,531253.05,195,467044.5,0.0,-887.25
2026-03-24 04:00:00,996433.68,65074.68,390,931359.0,0.0,-1940.25
2026-03-24 04:15:00,996160.68,65074.68,390,931086.0,0.0,-2213.25
2026-03-24 04:30:00,994990.68,65074.68,390,929916.0,0.0,-3383.25
2026-03-24 04:45:00,998344.68,65074.68,390,933270.0,0.0,-29.25
2026-03-24 05:00:00,994834.68,65074.68,390,929760.0,0.0,-3539.25
2026-03-24 05:15:00,995302.68,65074.68,390,930228.0,0.0,-3071.25
2026-03-24 05:30:00,999904.68,65074.68,390,934830.0,0.0,1530.75
2026-03-24 05:45:00,1002712.27,1002712.27,0,0.0,2712.27,0.0
2026-03-24 06:00:00,1002712.27,1002712.27,0,0.0,2712.27,0.0
2026-03-24 06:15:00,1003068.13,528828.13,195,474240.0,2712.27,1179.75
2026-03-24 06:30:00,1000421.0,54944.0,390,945477.0,2712.27,-643.5
2026-03-24 06:45:00,999875.0,54944.0,390,944931.0,2712.27,-1189.5
2026-03-24 07:00:00,999407.0,54944.0,390,944463.0,2712.27,-1657.5
2026-03-24 07:15:00,998705.0,54944.0,390,943761.0,2712.27,-2359.5
2026-03-24 07:30:00,996521.0,54944.0,390,941577.0,2712.27,-4543.5
2026-03-24 07:45:00,999095.0,54944.0,390,944151.0,2712.27,-1969.5
2026-03-24 08:00:00,1000460.0,54944.0,390,945516.0,2712.27,-604.5
2026-03-24 08:15:00,996989.0,54944.0,390,942045.0,2712.27,-4075.5
2026-03-24 08:30:00,997457.0,54944.0,390,942513.0,2712.27,-3607.5
2026-03-24 08:45:00,991490.0,54944.0,390,936546.0,2712.27,-9574.5
2026-03-24 09:00:00,990905.0,54944.0,390,935961.0,2712.27,-10159.5
2026-03-24 09:15:00,991763.0,54944.0,390,936819.0,2712.27,-9301.5
2026-03-24 09:30:00,989969.0,54944.0,390,935025.0,2712.27,-11095.5
2026-03-24 09:45:00,991256.0,54944.0,390,936312.0,2712.27,-9808.5
2026-03-25 03:45:00,990203.0,54944.0,390,935259.0,2712.27,-10861.5
2026-03-25 04:00:00,990125.0,54944.0,390,935181.0,2712.27,-10939.5
2026-03-25 04:15:00,996989.0,54944.0,390,942045.0,2712.27,-4075.5
2026-03-25 04:30:00,996014.0,54944.0,390,941070.0,2712.27,-5050.5
2026-03-25 04:45:00,996794.0,54944.0,390,941850.0,2712.27,-4270.5
2026-03-25 05:00:00,999173.0,54944.0,390,944229.0,2712.27,-1891.5
2026-03-25 05:15:00,997457.0,54944.0,390,942513.0,2712.27,-3607.5
2026-03-25 05:30:00,998744.0,54944.0,390,943800.0,2712.27,-2320.5
2026-03-25 05:45:00,997574.0,54944.0,390,942630.0,2712.27,-3490.5
2026-03-25 06:00:00,995858.0,54944.0,390,940914.0,2712.27,-5206.5
2026-03-25 06:15:00,996014.0,54944.0,390,941070.0,2712.27,-5050.5
2026-03-25 06:30:00,995780.0,54944.0,390,940836.0,2712.27,-5284.5
2026-03-25 06:45:00,996482.0,54944.0,390,941538.0,2712.27,-4582.5
2026-03-25 07:00:00,997184.0,54944.0,390,942240.0,2712.27,-3880.5
2026-03-25 07:15:00,994025.0,54944.0,390,939081.0,2712.27,-7039.5
2026-03-25 07:30:00,995546.0,54944.0,390,940602.0,2712.27,-5518.5
2026-03-25 07:45:00,994337.0,54944.0,390,939393.0,2712.27,-6727.5
2026-03-25 08:00:00,994025.0,54944.0,390,939081.0,2712.27,-7039.5
2026-03-25 08:15:00,990593.0,54944.0,390,935649.0,2712.27,-10471.5
2026-03-25 08:30:00,989618.0,54944.0,390,934674.0,2712.27,-11446.5
2026-03-25 08:45:00,986537.0,54944.0,390,931593.0,2712.27,-14527.5
2026-03-25 09:00:00,986537.0,54944.0,390,931593.0,2712.27,-14527.5
2026-03-25 09:15:00,984197.0,54944.0,390,929253.0,2712.27,-16867.5
2026-03-25 09:30:00,982637.0,54944.0,390,927693.0,2712.27,-18427.5
2026-03-25 09:45:00,983066.0,54944.0,390,928122.0,2712.27,-17998.5
2026-03-27 03:45:00,994532.0,54944.0,390,939588.0,2712.27,-6532.5
2026-03-27 04:00:00,995546.0,54944.0,390,940602.0,2712.27,-5518.5
