date,equity,active_slots,available_capital,day_cycles,active_symbols
2026-04-08,5000000.0,3,2000000,0,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-09,4986665.53,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-10,5007490.28,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-13,4992982.83,3,2000000,1,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-15,5010805.57,3,2000000,2,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-16,5014511.99,3,2000000,4,"MAXHEALTH,PATANJALI,BIOCON"
2026-04-17,5031215.59,3,2015163.1,6,"PATANJALI,BIOCON,INDUSTOWER"
2026-04-20,5005103.31,3,2015163.1,2,"PATANJALI,BIOCON,INDUSTOWER"
2026-04-21,5040310.16,2,3019987.44,4,"PATANJALI,BIOCON"
2026-04-22,5038750.74,1,4034998.25,1,BIOCON
2026-04-23,5044073.31,1,4034998.25,2,BIOCON
2026-04-24,5031936.99,1,4034998.25,0,BIOCON
2026-04-27,5051066.88,1,4034998.25,2,BIOCON
2026-04-28,5051722.88,1,4034998.25,0,BIOCON
2026-04-29,5050036.71,1,4034998.25,1,BIOCON
2026-04-30,5047675.44,3,2034998.25,1,"BIOCON,PATANJALI,INDUSTOWER"
2026-05-04,5033559.4,3,2034998.25,3,"BIOCON,PATANJALI,INDUSTOWER"
2026-05-05,5048110.1,2,3062752.32,3,"PATANJALI,INDUSTOWER"
2026-05-06,5061903.61,2,3062752.32,5,"PATANJALI,INDUSTOWER"
2026-05-07,5058736.58,2,3062752.32,2,"PATANJALI,INDUSTOWER"
2026-05-08,5064237.4,2,3062752.32,3,"PATANJALI,INDUSTOWER"
2026-05-11,5063183.14,2,3062752.32,3,"PATANJALI,INDUSTOWER"
2026-05-12,5022680.75,2,3062752.32,0,"PATANJALI,INDUSTOWER"
2026-05-13,5054126.24,5,43615.63,4,"INDUSTOWER,WIPRO,TATACAP,LENSKART,HEROMOTOCO"
2026-05-14,5057132.3,5,43615.63,8,"INDUSTOWER,WIPRO,TATACAP,LENSKART,HEROMOTOCO"
2026-05-15,5049790.89,5,43615.63,7,"INDUSTOWER,WIPRO,TATACAP,LENSKART,HEROMOTOCO"
2026-05-18,5047731.88,5,49566.4,8,"INDUSTOWER,TATACAP,LENSKART,HEROMOTOCO,TCS"
2026-05-19,5061377.55,5,74153.5,10,"INDUSTOWER,TATACAP,HEROMOTOCO,TCS,SAMMAANCAP"
2026-05-20,5057925.6,5,74153.5,4,"INDUSTOWER,TATACAP,HEROMOTOCO,TCS,SAMMAANCAP"
2026-05-21,5069519.07,5,74153.5,7,"INDUSTOWER,TATACAP,HEROMOTOCO,TCS,SAMMAANCAP"
2026-05-22,5076244.33,4,1103681.95,2,"INDUSTOWER,TATACAP,HEROMOTOCO,TCS"
2026-05-25,5111668.45,2,3132221.68,5,"HEROMOTOCO,TCS"
2026-05-26,5100352.45,2,3132221.68,0,"HEROMOTOCO,TCS"
2026-05-27,5108595.79,2,3132221.68,1,"HEROMOTOCO,TCS"
