symbol,entry_date,exit_date,exit_reason,days_active,range_low,range_high,grid_gap,order_qty,capital,grid_cycles,exit_cycles,gross_pnl,total_cost,net_pnl,exit_pnl,max_drawdown
TATACAP,2026-04-07,2026-04-15,INVENTORY_SOLD_OUT,8,304.97,363.93,2.2,931,1000000,14,0,28674.8,11210.56,17464.24,0,19387.83
RRKABEL,2026-04-07,2026-04-16,INVENTORY_SOLD_OUT,9,1299.63,1558.1,12.45,218,1000000,16,0,43425.6,12822.5,30603.1,0,19933.39
HEROMOTOCO,2026-04-07,2026-04-21,NO_TRADE_TIMEOUT (11d),14,5034.9,5890.05,42.55,88,1000000,8,2,5742.0,12112.19,-6370.19,-26647.18,47875.49
INDUSTOWER,2026-04-16,2026-04-27,BREAKDOWN,11,411.19,477.0,3.4,1078,1000000,4,2,-15523.2,6921.43,-22444.63,-32483.48,42957.63
PIDILITIND,2026-04-07,2026-05-04,NO_TRADE_TIMEOUT (11d),27,1276.78,1514.93,10.05,222,1000000,10,3,-6227.1,10601.88,-16828.98,-30984.97,45253.12
PATANJALI,2026-04-15,2026-05-11,NO_TRADE_TIMEOUT (12d),26,457.56,538.97,3.4,455,1000000,15,4,-4732.0,10893.0,-15625.0,-30225.51,27294.27
OIL,2026-05-11,2026-05-13,INVENTORY_SOLD_OUT,2,451.64,504.01,3.35,629,1000000,13,0,27392.95,10602.32,16790.63,0,8433.18
CANHLIFE,2026-04-27,2026-05-18,BREAKDOWN,21,138.36,154.05,1.45,3198,1000000,5,2,-47234.46,8237.76,-55472.22,-72771.32,105204.34
WIPRO,2026-05-13,2026-05-18,INVENTORY_SOLD_OUT,5,187.66,217.03,0.85,2367,1000000,10,0,20119.5,11628.4,8491.1,0,6575.21
HEROMOTOCO,2026-04-27,2026-05-19,NO_TRADE_TIMEOUT (11d),22,4983.3,5841.2,29.65,41,1000000,27,4,-28853.75,17849.05,-46702.8,-64008.89,85387.8
LENSKART,2026-05-18,2026-05-22,INVENTORY_SOLD_OUT,4,472.8,548.1,5.15,936,1000000,15,0,72306.0,18028.59,54277.41,0,10126.22
PIRAMALFIN,2026-04-07,2026-05-26,SIM_END,49,1681.12,1909.3,17.9,168,1000000,32,1,114206.4,26720.32,87486.08,17145.98,94134.99
INDIANB,2026-05-11,2026-05-26,SIM_END,15,832.71,990.78,7.55,531,1000000,4,2,4911.75,6915.38,-2003.63,-13436.07,36667.21
TCS,2026-05-18,2026-05-26,SIM_END,8,2268.16,2720.31,14.15,125,1000000,2,3,-25281.25,3868.24,-29149.49,-31128.89,29983.13
HEROMOTOCO,2026-05-25,2026-05-26,SIM_END,1,4923.0,5767.7,33.25,57,1000000,3,1,5315.25,3008.75,2306.5,-1123.7,1673.22
