symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_watch,range_position,in_bottom_zone,below_range,above_range,breakdown,breakout,strong_downtrend,avg_bar_range_15m,avg_bar_range_5m,grid_gap_pts,total_grid_levels,grids_to_bottom,order_qty,order_value,gross_cycle_profit,round_trip_cost,net_cycle_profit,allocated_capital,cash_reserve,max_downside_buy_value,initial_buy_value,initial_buy_qty,initial_buy_used_value,unused_cash,entry_status,grid_status,final_status,final_reason,candidate_score
URBANCO,NSE:URBANCO-EQ,Consumer Services,123.36,9644120,1200046896,60,104.41,150.59,46.18,44.23,0,0,0,False,False,,False,False,False,False,False,False,0.7556,0.4178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 44.23% > 25.0%,0
VBL,NSE:VBL-EQ,Fast Moving Consumer Goods,531.3,7117186,3307866966,60,387.71,534.72,147.0,37.92,0,0,0,False,False,,False,False,False,False,False,False,2.5556,1.4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 37.92% > 25.0%,0
VEDL,NSE:VEDL-EQ,Metals & Mining,344.9,26237153,7684175566,60,243.5,339.02,95.52,39.23,0,0,0,False,False,,False,False,False,False,False,False,1.8853,1.0502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 39.23% > 25.0%,0
VMM,NSE:VMM-EQ,Consumer Services,121.08,27831621,3238300157,60,101.47,127.43,25.96,25.59,0,0,0,False,False,,False,False,False,False,False,False,0.6344,0.3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 25.59% > 25.0%,0
VOLTAS,NSE:VOLTAS-EQ,Consumer Durables,1271.4,1223239,1669082653,60,1212.56,1555.2,342.64,28.26,0,0,0,False,False,,False,False,False,False,False,False,6.516,3.6805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 28.26% > 25.0%,0
WAAREEENER,NSE:WAAREEENER-EQ,Capital Goods,3088.1,2075783,6341101855,60,2581.39,3520.47,939.08,36.38,0,0,0,False,False,,False,False,False,False,False,False,13.0793,7.2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 36.38% > 25.0%,0
WELCORP,NSE:WELCORP-EQ,Capital Goods,1319.0,847497,928931730,60,769.85,1357.82,587.96,76.37,0,0,0,False,False,,False,False,False,False,False,False,8.344,4.6838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 76.37% > 25.0%,0
WELSPUNLIV,NSE:WELSPUNLIV-EQ,Textiles,138.81,2028379,258279306,60,108.76,141.99,33.23,30.55,0,0,0,False,False,,False,False,False,False,False,False,0.7797,0.4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 30.55% > 25.0%,0
WOCKPHARMA,NSE:WOCKPHARMA-EQ,Healthcare,1700.2,1454450,2223703566,60,1161.23,1662.72,501.49,43.19,0,0,0,False,False,,False,False,False,False,False,False,12.0909,6.6353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 43.19% > 25.0%,0
ZEEL,NSE:ZEEL-EQ,Media Entertainment & Publication,82.78,15243725,1273523920,60,71.59,94.45,22.86,31.93,0,0,0,False,False,,False,False,False,False,False,False,0.515,0.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 31.93% > 25.0%,0
ZENTEC,NSE:ZENTEC-EQ,Capital Goods,1602.8,776128,1197084944,60,1296.8,1752.25,455.45,35.12,0,0,0,False,False,,False,False,False,False,False,False,9.2364,5.0864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 35.12% > 25.0%,0
ZYDUSWELL,NSE:ZYDUSWELL-EQ,Fast Moving Consumer Goods,481.05,2773279,1280374696,60,374.1,528.32,154.21,41.22,0,0,0,False,False,,False,False,False,False,False,False,2.9342,1.5972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_TOO_WIDE,NOT_EVALUATED,RANGE_TOO_WIDE,range width 41.22% > 25.0%,0
